Tiempo_ms,Original,Demodulada
2.910000000000000364e-01,8.443279255020164076e-01,6.322065036187117792e-01
2.919999999999999818e-01,8.763066800438629178e-01,6.580995092009108705e-01
2.930000000000000382e-01,9.048270524660202430e-01,6.818343617741852158e-01
2.939999999999999836e-01,9.297764858882505701e-01,7.025484792146869939e-01
2.950000000000000400e-01,9.510565162951538642e-01,7.208819204033816153e-01
2.959999999999999853e-01,9.685831611286304099e-01,7.357670812891051737e-01
2.969999999999999862e-01,9.822872507286887211e-01,7.480662251117308204e-01
2.979999999999999871e-01,9.921147013144778759e-01,7.573410969024629846e-01
2.989999999999999880e-01,9.980267284282715590e-01,7.633790436545981883e-01
2.999999999999999889e-01,1.000000000000000000e+00,7.664023075166453980e-01
3.009999999999999898e-01,9.980267284282716700e-01,7.664044965562190059e-01
3.020000000000000462e-01,9.921147013144775428e-01,7.629517150449823815e-01
3.029999999999999916e-01,9.822872507286890542e-01,7.564743402832667662e-01
3.039999999999999925e-01,9.685831611286307430e-01,7.471923272282319228e-01
3.049999999999999933e-01,9.510565162951543083e-01,7.344581026591104900e-01
3.059999999999999942e-01,9.297764858882511252e-01,7.191396346059781841e-01
3.069999999999999951e-01,9.048270524660209091e-01,7.010115243104046989e-01
3.079999999999999960e-01,8.763066800438635839e-01,6.800765830746561269e-01
3.089999999999999969e-01,8.443279255020152974e-01,6.565559242379418459e-01
3.099999999999999978e-01,8.090169943749478954e-01,6.300199987672876478e-01
3.109999999999999987e-01,7.705132427757876989e-01,6.011127016190032091e-01
3.119999999999999996e-01,7.289686274214125516e-01,5.693999335716333210e-01
3.130000000000000004e-01,6.845471059286873938e-01,5.350937602310454899e-01
3.140000000000000013e-01,6.374239897486914108e-01,4.988519034339607416e-01
3.150000000000000022e-01,5.877852522924723599e-01,4.606676168276128691e-01
3.160000000000000031e-01,5.358267949789990992e-01,4.203286528039302250e-01
3.170000000000000040e-01,4.817536741017150459e-01,3.784783366419025574e-01
3.180000000000000049e-01,4.257792915650727150e-01,3.351196284342505827e-01
3.190000000000000058e-01,3.681245526846783633e-01,2.900405953467542486e-01
3.200000000000000067e-01,3.090169943749447867e-01,2.434467789488140022e-01
3.210000000000000075e-01,2.486898871648559051e-01,1.955599891237086718e-01
3.220000000000000084e-01,1.873813145857226026e-01,1.470261259122052355e-01
3.230000000000000093e-01,1.253332335643060902e-01,9.741784527424973694e-02
3.240000000000000102e-01,6.279051952931204161e-02,4.759454617864841003e-02
3.250000000000000111e-01,2.572377258846030111e-15,-2.225659210880717460e-03
3.260000000000000120e-01,-6.279051952931399838e-02,-5.226115467218505478e-02
3.269999999999999574e-01,-1.253332335643009832e-01,-1.027146136557045841e-01
3.280000000000000138e-01,-1.873813145857245455e-01,-1.527347146751605877e-01
3.289999999999999591e-01,-2.486898871648543508e-01,-2.023219641770171717e-01
3.300000000000000155e-01,-3.090169943749466741e-01,-2.516802097666769322e-01
3.310000000000000164e-01,-3.681245526846801952e-01,-3.000758823558237198e-01
3.320000000000000173e-01,-4.257792915650712717e-01,-3.467150023812322623e-01
3.330000000000000182e-01,-4.817536741017167667e-01,-3.926759485515213810e-01
3.339999999999999636e-01,-5.358267949789947693e-01,-4.370920074008726730e-01
3.350000000000000200e-01,-5.877852522924739143e-01,-4.798150932466702656e-01
3.359999999999999654e-01,-6.374239897486874140e-01,-5.207790228803813593e-01
3.370000000000000218e-01,-6.845471059286888371e-01,-5.600017273917192728e-01
3.379999999999999671e-01,-7.289686274214114414e-01,-5.974827472738660772e-01
3.390000000000000235e-01,-7.705132427757889202e-01,-6.321314269524592744e-01
3.400000000000000244e-01,-8.090169943749490056e-01,-6.641798260451206026e-01
3.409999999999999698e-01,-8.443279255020144092e-01,-6.938091584494560093e-01
3.420000000000000262e-01,-8.763066800438645831e-01,-7.208871861229025901e-01
3.429999999999999716e-01,-9.048270524660186886e-01,-7.450066957689839287e-01
